ZZ3_IDEQU,ZZ3_FILIAL,ZZ3_PLACA,ZZ3_FROTA ,ZZ3_EMPEQU,ZZ3_POSSE,ZZ3_TIPEQU,ZZ3_OBS,ZZ3_DATDIG,D_E_L_E_T_,R_E_C_N_O_
1,,CPI8726,,PARTICULAR,PROPRIO,CSC,,,,
2,,GMD3123,,PARTICULAR,PROPRIO,CAVMEC,,,,
3,,IVK8634,,PARTICULAR,CLIENTE,CSC,,,,
4,,QDA5378,,PARTICULAR,CLIENTE,UTILIT,,,,
5,,ORB8088,,PARTICULAR,PROPRIO,CAVMEC,,,,
6,,JYC1919,,OPTRANS TRANSPORTE ,CLIENTE,CSC,,,,
7,,JYA4073,,OPTRANS TRANSPORTE,CLIENTE,REBOQUE,CARRETA,,,
8,,JVV4751,,,PROPRIO,MOTO,,,,
9,,HBZ4180,,AC PARCERIA,CLIENTE,CAVMEC,,,,
10,,AHU4750,,BRANDAO TRANPORTE,CLIENTE,CAVMEC,,,,
11,,CGS0712,910,LINAVE,CLIENTE,BAU,PROCEDENTE DA BRANDAO TRANSPORTES,,,
12,,QDB0698,,LINAVE,PROPRIO,UTILIT,,,,
13,,KER2538,1260,LINAVE,PROPRIO,BAU,,,,
14,,LYD2188,,BRANDAO TRANSPORTE,CLIENTE,CAVMEC,,,,
15,,OTR0272,,,PROPRIO,MOTO,,,,
16,,JVQ4770,,,PROPRIO,MOTO,,,,
17,,NEX1877,,,PROPRIO,VLEVE,,,,
18,,OFT3346,,,PROPRIO,MOTO,,,,
19,,JVN4848,,,PROPRIO,VLEVE,,,,
20,,NXC2195,,,PROPRIO,VLEVE,,,,
21,,NSZ7165,,,PROPRIO,VLEVE,,,,
22,,OJB8G66,05GL,CATTANI,PROPRIO,ONIBUS,,,,
23,,JTW1451,,,PROPRIO,VLEVE,,,,
24,,HGJ8376,,SADA,CLIENTE,CAVMEC,,,,
25,,QNS6890,KA,UBER,CLIENTE,VLEVE,,,,
26,,GSV8022,,UNIUSLOG,CLIENTE,CAVMEC,,,,
27,,OSW6202,,UNIUSLOG,CLIENTE,CSC,,,,
28,,OBU9254,,AMAZON DRY PORT,CLIENTE,CAVMEC,,,,
29,,JVW4514,,AMAZON DRY PORT,CLIENTE,CSC,,,,
30,,OFN8715,,SP CONTABILIDADE,PROPRIO,VLEVE,,,,
31,,OTJ1002,,AMAZON DRY PORT,CLIENTE,CAVMEC,,,,
32,,OTE8111,,AMAZON DRY PORT,CLIENTE,CSC,,,,
33,,JVQ1321,,AMAZON DRY PORT,CLIENTE,CAVMEC,,,,
34,,OTE8281, ,AMAZON DRY PORT,CLIENTE,CSC,,,,
35,,HGL3344,,SADA,CLIENTE,CAVMEC,,,,
36,,PXJ3275,266,SADA,CLIENTE,CEGSC,,,,
37,,MGZ4225,,BALUARTE,CLIENTE,CAVMEC,,,,
38,,MMX1555,,BALUARTE CONSTRUTORA,CLIENTE,CSC,AGREGADO,,,
39,,JTG5319,,SILVA E PACIFICO LOG,CLIENTE,CAVMEC,AGREGADO,,,
40,,JVD1294,,LINAVE,PROPRIO,MOTO,FUNCIONARIO,,,
